channel_name,followers,price,telega_link,view,male_ratio,reach_ratio,tg_link,language
Sky Sports Football ⚽️,"250,019",84.00,https://telega.io/channels/Sky_sports_football_updates/card,3.2K,90%,11.8%,https://t.me/Sky_sports_football_updates,English
UEFA CHAMPIONS LEAGUE,"180,828",74.40,https://telega.io/channels/Uefa_Champions_Leagueee/card,3.3K,55%,8.4%,https://t.me/Uefa_Champions_Leagueee,English
F1 RACEFANS,"240,090",56.40,https://telega.io/channels/f1_racefans/card,1.1K,90%,12.4%,https://t.me/f1_racefans,Spanish
INFOSPORT FOOTBALL,"95,426",840.00,https://telega.io/channels/mondedufootball/card,1.9K,50%,8.5%,https://t.me/mondedufootball,French
INFO SPORTS ⚽️🏀🎾,"41,345",54.00,https://telega.io/channels/Infosportsplus/card,1.9K,70%,11.0%,https://telegram.me/Infosportsplus,French
REAL MADRID INFOS,"52,233",54.00,https://telega.io/channels/realmadridinfos/card,4.5K,80%,11.8%,https://telegram.me/realmadridinfos,French
Troll Football,"125,038",96.00,https://telega.io/channels/+RQFqgS6VWh1hNzZk/card,1.2K,80%,18.4%,https://t.me/+RQFqgS6VWh1hNzZk,English
Arsenal,"108,078",51.60,https://telega.io/channels/arsenal_london/card,2.4K,50%,14.6%,https://t.me/arsenal_london,English
Sky Sports Football,"159,285",70.80,https://telega.io/channels/sky_sports_football/card,9.1K,50%,10.0%,https://t.me/sky_sports_football,English
TOP MERCATO ⚽️,"29,594",42.00,https://telega.io/channels/TopMercato/card,1.2K,75%,9.4%,https://t.me/TopMercato,French
FC BARCELONE,"33,811",540.00,https://telega.io/channels/FCBarceloneFra/card,1.2K,60%,19.8%,https://t.me/FCBarceloneFra,French
Fabrizio Romano,"119,501",80.40,https://telega.io/channels/76IdiFtyFfY2MDVk/card,5.2K,70%,10.9%,https://t.me/joinchat/76IdiFtyFfY2MDVk,English
REAL MADRID C.F,"136,131",66.00,https://telega.io/channels/Realmadrid_world/card,835,50%,11.5%,https://t.me/Realmadrid_world,English
INFOSPORT+,"51,830",120.00,https://telega.io/channels/+5iqoMuxGH5s1MWVk/card,493,60%,13.4%,https://t.me/+5iqoMuxGH5s1MWVk,French
CHELSEA ANALYSIS & VIDEOS🔵🎥,"49,026",21.60,https://telega.io/channels/ChelseaAnalysis/card,1.7K,90%,22.9%,https://t.me/ChelseaAnalysis,English
PREMIER LEAGUE FR,"28,605",240.00,https://telega.io/channels/PLFRANCE/card,704,50%,10.8%,https://t.me/PLFRANCE,French
Manchester City FC,"134,677",58.80,https://telega.io/channels/manchester_city/card,2.6K,75%,8.7%,https://telegram.me/manchester_city,English
ESPN Channel,"70,608",58.80,https://telega.io/channels/Espnfc_news/card,1.3K,70%,12.7%,https://t.me/Espnfc_news,English
Premier League News,"243,033",120.00,https://telega.io/channels/+V41L4xDlhek0MTZk/card,851,90%,9.8%,https://t.me/+V41L4xDlhek0MTZk,English
Manchester United 🔴,"96,372",58.80,https://telega.io/channels/manchesterunited/card,3.8K,80%,12.9%,https://t.me/manchesterunited,English
