channel_name,followers,price,telega_link,view,male_ratio,reach_ratio,tg_link,language
Match Masters Promocodes,"21,594",8.40,https://telega.io/channels/MatchMastersPromocodes/card,,50%,36.7%,https://t.me/MatchMastersPromocodes,English
games & play 👾,"88,790",96.00,https://telega.io/channels/games/card,,65%,3.1%,https://telegram.me/games,English
🤑 تطبيقات أندرويد مدفوعة 🤑,"465,183",21.60,https://telega.io/channels/DevRabie/card,,50%,2.1%,https://t.me/DevRabie,Arabic
🔘PRO ANDROID 💠,"176,683",33.60,https://telega.io/channels/P3QPUpYX0ob4MSsp/card,,50%,5.1%,https://t.me/joinchat/P3QPUpYX0ob4MSsp,Spanish
📂 مملكة سيف التطبيقات,"268,908",9.60,https://telega.io/channels/DevSaif/card,,50%,2.0%,https://t.me/DevSaif,Arabic
Games & Techs,"14,928",6.00,https://telega.io/channels/GAMES_AND_TECHS/card,,95%,3.4%,https://t.me/GAMES_AND_TECHS,English
Gaming Zone,"13,095",3.60,https://telega.io/channels/Gamer_zonez/card,,50%,7.8%,https://t.me/Gamer_zonez,English
Free Unity Unreal Engine assets,"10,568",14.40,https://telega.io/channels/Unity_Unreal_assets/card,,50%,10.4%,https://t.me/Unity_Unreal_assets,English
Jogos Android Brasil,"8,481",4.80,https://telega.io/channels/jogosandroidbrasil/card,,80%,4.4%,https://t.me/jogosandroidbrasil,Portuguese
🔰Apk de todo📲,"10,481",6.00,https://telega.io/channels/apkdetodo007/card,,50%,5.6%,https://t.me/apkdetodo007,Spanish
♦️ CIVIL GAMING STUDIO ♦️,0,4.80,https://telega.io/channels/civilgamingg/card,,90%,--,https://t.me/civilgamingg,English
EA FC 24,"3,702",2.40,https://telega.io/channels/fifacuba/card,,90%,3.2%,https://telegram.me/fifacuba,Spanish
Love game,"1,067",2.40,https://telega.io/channels/gamehubless/card,,70%,2.9%,https://t.me/gamehubless,English
Seriadosymas,"33,228",9.60,https://telega.io/channels/seriadosymas/card,,80%,5.3%,https://telegram.me/seriadosymas,Spanish
مملكة التطبيقات🔥🔊,"18,404",3.60,https://telega.io/channels/fisha40/card,,80%,14.5%,https://t.me/fisha40,Arabic
🎮Didi le gamer yt🎮,"1,390",3.60,https://telega.io/channels/dydylegamer/card,,70%,1.6%,https://t.me/dydylegamer,English
4-3-3 Game Zone ™️,"61,554",12.00,https://telega.io/channels/Game_Zone_433/card,,50%,10.2%,https://t.me/Game_Zone_433,English
